,Nama,Harga Diskon,Harga Awal,Diskon,Terjual,Kota/Kab,Toko,Rating,Kategori
0,VYATTA BULLET LIGHTNING USB CABLE - GARANSI 12 BULAN TANPA BATAS,67150,79000,15.0,213,Jakarta Timur,Toko A,4.9,Lighting
1,Oraimo Charger Handphone Firefly 3 Quick Charge Fast Charging 10W 2A LED Free Kabel Data Micro USB Type-C Lightning OCW-E66S,50915,89000,42.8,1,Jakarta Pusat,Toko B,5.0,Lighting
2,Softbox Flash 50cm x 70cm Lighting Studio Strobist photography,107300,145000,26.0,2,Kab. Tangerang,Toko C,5.0,Lighting
3,Portable Light Stand Tripod 200cm for Studio Lighting - W803,45800,188000,75.6,0,Jakarta Barat,Toko D,,Lighting
4,Stand Tripod 180cm for Studio Lighting W803,45600,195000,76.6,1,Jakarta Barat,Toko E,5.0,Lighting
5,Lampu studio flash godox k160 mini pioneer lighting studio k-160,637500,637500,0.0,66,Jakarta Utara,Toko B,5.0,Lighting
6,Softbox Lighting 4 Socket E27 Plus Tripod Stand 2M dan Cover Putih Studio Foto,395000,395000,0.0,112,Jakarta Barat,Toko F,4.9,Lighting
7,Soket Lampu Foto Studio Ganda E27 Twin Bracket Holder Lighting Lamp,79700,79700,0.0,0,Jakarta Barat,Toko G,,Lighting
8,Portable Light Stand Tripod 3 Section 200cm for Studio Lightning,46100,200000,77.0,150,Jakarta Barat,Toko H,4.7,Lighting
9,Lightstand tripod lampu tiang lampu light stand portable lighting stand,55500,55500,0.0,17,Kab. Bekasi,Toko I,5.0,Lighting
10,Lighting Lampu Studio Payung Softbox Reflektor E27 Single Socket,100000,100000,0.0,3,Surabaya,Toko B,5.0,Lighting
11,mic wireless smartphone iphone iPad IOS mikrofon microphone Lavalier rekam live podcast video audio jepit podcast video audio game tik tok lightning,129800,129800,0.0,2,Jakarta Barat,Toko J,5.0,Lighting
12,TaffSTUDIO Portable Light Stand Tripod 1 Section 160cm for Studio Lighting - TB-037 - Black,39999,39999,0.0,1,Surabaya,Toko B,4.0,Lighting
13,Midio M416 Video LED Lighting Kit Plus Baterai dan Charger,335000,1155000,71.0,3,Jakarta Barat,Toko F,5.0,Lighting
14,Paket Lighting Studio Foto Softbox 50x70 Light Stand 45watt vlog youtube socket e27,205000,220000,6.8,8,Bandung,Toko G,4.3,Lighting
15,Lightdow Lighting Kamera 160 LED,271800,1231200,77.9,0,Jakarta Barat,Toko E,,Lighting
16,Softbox Payung Lighting Fotografi UB05,644800,3265800,80.3,0,Jakarta Barat,Toko E,,Lighting
17,Lighting Kit with Backdrop - LD-TZ11A,894300,4823000,81.5,0,Jakarta Barat,Toko E,,Lighting
18,Softbox Foto Studio Lighting Kit Youtube Vlog LD-TZ07A,415900,1777000,76.6,1,Jakarta Barat,Toko E,5.0,Lighting
19,Softbox Reflektor Photography Foto Studio Lighting Kit,841600,2299000,63.4,0,Jakarta Barat,Toko E,,Lighting
20,Flash Diffuser Lighting Softbox Studio Photography Light Ball 65 cm,174200,453400,61.6,1,Jakarta Barat,Toko K,5.0,Lighting
21,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,240900,2092000,88.5,0,Jakarta Barat,Toko L,,Lighting
22,Kabel Data Charger L Gaming Type C Micro USB Lightning Fast Charging,15000,55000,72.7,574,Jakarta Pusat,Toko D,4.9,Lighting
23,Portrait Foto Studio Lighting Kit Youtube Vlog LD-TZ07A,418400,2037000,79.5,0,Jakarta Barat,Toko L,,Lighting
24,Portrait Foto Studio Day Lighting Kit with Backdrop LD-TZ25,1105000,5043000,78.1,0,Jakarta Barat,Toko L,,Lighting
25,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,671200,3311000,79.7,0,Jakarta Barat,Toko L,,Lighting
26,Paket LED studio 204 video lighting youtube vlog,800000,800000,0.0,7,Bandung,Toko G,4.8,Lighting
27,Paket lighting 6 Led slim Dmx 512 par 54 led Rgbw,2400000,2400000,0.0,0,Jakarta Barat,Toko I,,Lighting
28,Foto Studio Lighting Kit with Backdrop - LD-TZ11A,896800,4021000,77.7,0,Jakarta Barat,Toko L,,Lighting
29,Lampu Studio LED Bi-color Dimmable Lighting 30W with Remote,989100,5016600,80.3,0,Jakarta Barat,Toko E,,Lighting
30,Lampu Flash Studio Video Photography Lighting 3 in 1 Color 300W,1042200,5286600,80.3,0,Jakarta Barat,Toko E,,Lighting
31,Stand Tripod 4 Section 180cm Studio Lighting FXFZ01,190900,230000,17.0,0,Jakarta Barat,Toko E,,Lighting
32,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,238400,2438000,90.2,0,Jakarta Barat,Toko E,,Lighting
33,Lighting Softbox Foto Studio Kit with Backdrop,1102500,2845000,61.2,0,Jakarta Barat,Toko E,,Lighting
34,Casell Ultra thin LED-396AS Professional LED Video Photo Lighting,1250000,1250000,0.0,0,Jakarta Pusat,Toko M,,Lighting
35,Nanlite Compac 100 Dimmable 5600K Slim Soft Lighting Studio LED Panel,3475000,3475000,0.0,0,Jakarta Pusat,Toko M,,Lighting
36,Nanlite 1200CSA Bicolor LED Panel Lighting Video Professional,5815000,5815000,0.0,0,Jakarta Pusat,Toko M,,Lighting
37,Casell Ultra thin LED-396A Bi Color Professional Video Photo Lighting,1150000,1150000,0.0,0,Jakarta Pusat,Toko M,,Lighting
38,Nanlite Forza 300 LED Monolight Continuos Lighting Video,13195000,13195000,0.0,0,Jakarta Pusat,Toko M,,Lighting
39,Casell Ultra thin LED-396 Daylight Professional Video Photo Lighting,1150000,1150000,0.0,0,Jakarta Pusat,Toko M,,Lighting
40,Nanlite Compac 100B Bi-Color Slim Soft Lighting Studio LED Panel,4650000,4650000,0.0,0,Jakarta Pusat,Toko M,,Lighting
41,Nanlite MixPad 27 Tunable RGB Hard and Soft LED Panel Lampu - Lighting,4635000,4635000,0.0,0,Jakarta Pusat,Toko M,,Lighting
42,Nanlite MixWand 18 RGB Hard and Soft LED Lighting Painting Wand Lampu,2350000,2350000,0.0,0,Jakarta Pusat,Toko M,,Lighting
43,Nanlite Forza 60 LED Monolight Daylight Lighting Kamera Video,3220000,3220000,0.0,0,Jakarta Pusat,Toko M,,Lighting
44,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,668700,3971000,83.2,0,Jakarta Barat,Toko E,,Lighting
45,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,679700,2827500,76.0,0,Jakarta Barat,Toko D,,Lighting
46,Portrait Foto Studio Lighting Kit Youtube Vlog - LD-TZ07A,422700,1756500,75.9,0,Jakarta Barat,Toko D,,Lighting
47,Lighting Kit Foto Studio Day with Backdrop LDTZ30,4966100,5983200,17.0,0,Jakarta Barat,Toko E,,Lighting
48,EZMODE Studio Lighting Stand + 4 Socket Softbox 60x80cm with Grid,639000,700000,8.7,0,Jakarta Utara,Toko B,5.0,Lighting
49,VYATTA BULLET LIGHTNING iPhone IOS Cable - Kabel Data FAST CHARGE,42415,79000,46.3,0,Jakarta Timur,Toko A,4.9,Lighting
